name,index,year,D,S
Edirne,SPI12,1986,8,9.316
Edirne,SPI12,1986,9,10.355
Edirne,SPI12,1986,10,11.086
Edirne,SPI12,1986,11,11.799
Edirne,SPI12,1986,12,12.796
Edirne,SPI12,1987,1,2.13
Edirne,SPI12,1987,2,3.992
Edirne,SPI12,1987,3,5.319
Edirne,SPI12,1987,4,6.453
Edirne,SPI12,1987,5,7.777
Edirne,SPI12,1987,6,8.895
Edirne,SPI12,1987,7,10.071
Edirne,SPI12,1987,8,11.326
Edirne,SPI12,1987,9,12.459
Edirne,SPI12,1987,10,13.687
Edirne,SPI12,1987,11,14.805
Edirne,SPI12,1987,12,15.981
Edirne,SPI12,1988,1,0.893
Edirne,SPI12,1988,2,1.18
Edirne,SPI12,1988,3,1.679
Edirne,SPI12,1988,4,1.875
Edirne,SPI12,1988,5,2.292
Edirne,SPI12,1988,6,2.488
Edirne,SPI12,1988,7,2.659
Edirne,SPI12,1988,8,2.676
Edirne,SPI12,1988,9,2.709
Edirne,SPI12,1988,10,0.0
Edirne,SPI12,1988,11,0.0
Edirne,SPI12,1988,12,0.0
Edirne,SPI12,1989,1,1.235
Edirne,SPI12,1989,2,2.306
Edirne,SPI12,1989,3,3.508
Edirne,SPI12,1989,4,4.542
Edirne,SPI12,1989,5,5.435
Edirne,SPI12,1989,6,6.284
Edirne,SPI12,1989,7,6.75
Edirne,SPI12,1989,8,7.209
Edirne,SPI12,1989,9,7.536
Edirne,SPI12,1989,10,7.995
Edirne,SPI12,1989,11,8.256
Edirne,SPI12,1989,12,8.667
Edirne,SPI12,1990,1,1.511
Edirne,SPI12,1990,2,2.883
Edirne,SPI12,1990,3,4.392
Edirne,SPI12,1990,4,5.626
Edirne,SPI12,1990,5,6.707
Edirne,SPI12,1990,6,7.897
Edirne,SPI12,1990,7,9.131
Edirne,SPI12,1990,8,9.927
Edirne,SPI12,1990,9,10.909
Edirne,SPI12,1990,10,11.6
Edirne,SPI12,1990,11,12.006
Edirne,SPI12,1990,12,12.489
Edirne,SPI12,1991,1,0.712
Edirne,SPI12,1991,2,1.352
Edirne,SPI12,1991,3,2.334
Edirne,SPI12,1991,4,3.13
Edirne,SPI12,1991,5,4.364
Edirne,SPI12,1991,6,5.875
Edirne,SPI12,1991,7,7.247
Edirne,SPI12,1991,8,8.756
Edirne,SPI12,1991,9,9.837
Edirne,SPI12,1991,10,10.871
Edirne,SPI12,1991,11,12.261
Edirne,SPI12,1991,12,12.667
Edirne,SPI12,1992,1,1.085
Edirne,SPI12,1992,2,1.856
Edirne,SPI12,1992,3,2.61
Edirne,SPI12,1992,4,3.455
Edirne,SPI12,1992,5,4.289
Edirne,SPI12,1992,6,5.001
Edirne,SPI12,1992,7,5.261
Edirne,SPI12,1992,8,5.493
Edirne,SPI12,1992,9,5.845
Edirne,SPI12,1992,10,6.51
Edirne,SPI12,1992,11,7.305
Edirne,SPI12,1992,12,8.139
Edirne,SPI12,1993,1,0.933
Edirne,SPI12,1993,2,1.734
Edirne,SPI12,1993,3,2.48
Edirne,SPI12,1993,4,3.414
Edirne,SPI12,1993,5,4.137
Edirne,SPI12,1993,6,4.87
Edirne,SPI12,1993,7,5.758
Edirne,SPI12,1993,8,6.218
Edirne,SPI12,1993,9,6.905
Edirne,SPI12,1993,10,7.691
Edirne,SPI12,1993,11,8.277
Edirne,SPI12,1993,12,8.94
Edirne,SPI12,1994,1,1.605
Edirne,SPI12,1994,2,3.141
Edirne,SPI12,1994,3,4.488
Edirne,SPI12,1994,4,6.06
Edirne,SPI12,1994,5,7.211
Edirne,SPI12,1994,6,8.135
Edirne,SPI12,1994,7,9.089
Edirne,SPI12,1994,8,9.693
