name,indeks,k,D,n,z_mk,p_mk,z_hr,p_hr,var_infl,sig_hr_bh,z_tfpw,p_tfpw
Lüleburgaz,SPEI,3,6,59,2.89,0.003855433955977,2.89,0.003855433955977,1.0,False,1.488302334678449,0.1366711795458324
Lüleburgaz,SPEI,3,7,59,2.366,0.0179835950618996,2.366,0.0179835950618996,1.0,False,1.13584144924023,0.25602292636194646
Lüleburgaz,SPEI,3,8,59,2.831,0.0046350569359774,2.831,0.0046350569359774,1.0,False,1.217776882289572,0.22330877159682982
Lüleburgaz,SPEI,3,9,59,3.013,0.0025872040246008,3.013,0.0025872040246008,1.0,False,3.012951334962625,0.0025872040246008865
Lüleburgaz,SPEI,6,1,59,2.645,0.0081807475463417,2.645,0.0081807475463417,1.0,False,2.644517503676484,0.008180747546341793
Lüleburgaz,SPEI,6,2,59,2.739,0.006164533024705,2.739,0.006164533024705,1.0,False,2.7388988816819637,0.006164533024705099
Lüleburgaz,SPEI,6,3,59,2.617,0.008860396397295,2.617,0.008860396397295,1.0,False,2.6173941501044626,0.008860396397295078
Lüleburgaz,SPEI,6,4,59,2.398,0.0164828670823165,2.013,0.0440751725093395,1.419,False,2.398044401504302,0.0164828670823165
Lüleburgaz,SPEI,6,5,59,2.306,0.0211155687831943,1.903,0.0570785215014135,1.469,False,2.30591166349392,0.021115568783194316
Lüleburgaz,SPEI,6,6,59,2.024,0.0430111158893604,1.835,0.0664887269932685,1.216,False,1.5792436404727368,0.1142801835926901
Lüleburgaz,SPEI,6,7,59,2.997,0.0027277741888049,2.997,0.0027277741888049,1.0,False,1.865627931975607,0.062093438907353304
Lüleburgaz,SPEI,6,8,59,3.129,0.0017540645867009,2.405,0.0161575691257431,1.692,False,1.8114383255644935,0.07007302786857239
Lüleburgaz,SPEI,6,9,59,3.024,0.0024964484806064,3.024,0.0024964484806064,1.0,False,1.6209367903742564,0.10503119560244856
Lüleburgaz,SPEI,6,10,59,3.074,0.0021118948830136,3.074,0.0021118948830136,1.0,False,1.606201001370854,0.1082297534195229
Lüleburgaz,SPEI,6,11,59,3.552,0.0003817498475156,2.851,0.004354703182865,1.552,False,1.7418833885914131,0.08152885120702269
Lüleburgaz,SPEI,6,12,59,3.735,0.0001879084153304,2.322,0.0202420763012596,2.587,False,1.8162785268636945,0.06932765746768399
Lüleburgaz,SPEI,9,1,59,2.789,0.0052922477936963,2.155,0.0311242171233694,1.674,False,2.7886852064413428,0.005292247793696303
Lüleburgaz,SPEI,9,2,59,2.637,0.0083535845059947,2.372,0.0176992736979644,1.236,False,2.6374341395879712,0.008353584505994771
Lüleburgaz,SPEI,9,3,59,2.403,0.0162417518905266,2.011,0.0443586052952769,1.429,False,2.403437302259376,0.01624175189052668
Lüleburgaz,SPEI,9,4,59,3.091,0.0019923022581405,3.091,0.0019923022581405,1.0,False,3.091377415330226,0.0019923022581405103
Lüleburgaz,SPEI,9,5,59,3.086,0.0020315071504433,3.086,0.0020315071504433,1.0,False,2.549034652069733,0.010802156637041316
Lüleburgaz,SPEI,9,6,59,3.001,0.0026928102298808,3.001,0.0026928102298808,1.0,False,1.8658989649411408,0.0620555024536229
Lüleburgaz,SPEI,9,7,59,2.984,0.0028483577258733,2.984,0.0028483577258733,1.0,False,1.871593378971271,0.06126288011402581
Lüleburgaz,SPEI,9,8,59,3.039,0.0023710551969964,2.477,0.0132622587306316,1.506,False,1.711595268249915,0.08697128092614559
Lüleburgaz,SPEI,9,9,59,3.25,0.0011560132564032,2.647,0.0081207793932833,1.507,False,2.212091376303304,0.026960351866124554
Lüleburgaz,SPEI,9,10,59,3.535,0.0004085029561085,2.472,0.0134422791144361,2.045,False,1.949676058428768,0.05121474164543938
Lüleburgaz,SPEI,9,11,59,3.605,0.0003119758188967,2.434,0.0149361954363222,2.194,False,2.0383562506723556,0.04151431817987605
Lüleburgaz,SPEI,9,12,59,3.807,0.0001406145805427,2.273,0.0230185204351323,2.805,False,2.133083156002287,0.03291790528362215
Lüleburgaz,SPEI,12,1,59,3.231,0.0012347481738124,2.936,0.0033270541353227,1.211,False,3.1393374136016714,0.0016933035056956314
Lüleburgaz,SPEI,12,2,59,3.191,0.0014159763063739,2.305,0.0211818083506383,1.917,False,2.857602004688701,0.004268554124290169
Lüleburgaz,SPEI,12,3,59,2.911,0.0036031856141933,2.443,0.0145574476643604,1.42,False,2.468538820951742,0.013566593571407548
Lüleburgaz,SPEI,12,4,59,3.106,0.0018946984743162,2.595,0.0094515408734683,1.433,False,2.6429464550407236,0.008218803154788734
Lüleburgaz,SPEI,12,5,59,3.326,0.0008795167761714,2.737,0.0062078859275698,1.478,False,2.8978499202476966,0.003757303387038835
Lüleburgaz,SPEI,12,6,59,3.212,0.0013176703357029,2.138,0.0324983001069558,2.257,False,2.7502742298647123,0.005954540897469052
Lüleburgaz,SPEI,12,7,59,3.16,0.0015752291815409,2.249,0.0244991233047049,1.974,False,1.853384794645303,0.0638272251590819
Lüleburgaz,SPEI,12,8,59,2.023,0.0430954855093184,1.57,0.1164916338999482,1.661,False,2.0227833841250065,0.04309548550931841
Lüleburgaz,SPEI,12,9,59,2.236,0.0253482661618964,1.751,0.0799956763213507,1.631,False,2.2360535110754465,0.02534826616189645
Lüleburgaz,SPEI,12,10,59,2.521,0.0116953472527596,3.494,0.0004754896071046,0.521,False,2.5212056673024845,0.011695347252759669
Lüleburgaz,SPEI,12,11,59,2.849,0.0043864360329186,2.489,0.0128242475404307,1.311,False,2.8489457423744904,0.004386436032918661
Lüleburgaz,SPEI,12,12,59,2.831,0.0046350569359774,2.479,0.0131770070167838,1.305,False,2.8313596575450184,0.004635056935977433
Lüleburgaz,SPI,1,1,59,1.687,0.0915395270106083,1.687,0.0915395270106083,1.0,False,1.687332021608546,0.0915395270106083
Lüleburgaz,SPI,1,2,59,1.453,0.1461750438544695,1.453,0.1461750438544695,1.0,False,1.4531754599410383,0.14617504385446956
Lüleburgaz,SPI,1,3,59,0.867,0.3858116664451581,1.093,0.2745728398681371,0.63,False,0.8672379142586463,0.3858116664451581
Lüleburgaz,SPI,1,4,59,0.614,0.5391595307211186,0.903,0.366685619483049,0.463,False,0.6140844387258126,0.5391595307211186
Lüleburgaz,SPI,3,1,59,0.87,0.3844258927825115,1.203,0.2289192946756504,0.523,False,0.8697703959734485,0.3844258927825115
Lüleburgaz,SPI,3,2,59,0.988,0.3231226019811533,0.988,0.3231226019811533,1.0,False,0.988061352161379,0.3231226019811533
Lüleburgaz,SPI,3,3,59,0.773,0.4394146885823209,0.773,0.4394146885823209,1.0,False,0.7731819809532816,0.4394146885823209
Lüleburgaz,SPI,3,4,59,1.487,0.1370001619987628,1.487,0.1370001619987628,1.0,False,1.487055466854623,0.13700016199876286
Lüleburgaz,SPI,3,5,59,1.081,0.2796515414981479,1.081,0.2796515414981479,1.0,False,1.0811024550014663,0.27965154149814797
Lüleburgaz,SPI,3,6,59,1.406,0.1595856241941411,1.406,0.1595856241941411,1.0,False,0.4415886366903958,0.6587869083243949
Lüleburgaz,SPI,3,7,59,1.477,0.1396136930095732,1.138,0.2550778089969789,1.685,False,0.7058899078203877,0.48025660415319504
Lüleburgaz,SPI,3,8,59,1.004,0.3154903639343849,0.791,0.4289544380588523,1.61,False,0.41110320839567327,0.6809968574857819
Lüleburgaz,SPI,6,1,59,1.308,0.1908448465890475,1.661,0.0966132193785438,0.62,False,1.308083920722986,0.19084484658904755
Lüleburgaz,SPI,6,2,59,1.329,0.1839218428967468,1.329,0.1839218428967468,1.0,False,1.3287761198745391,0.18392184289674685
Lüleburgaz,SPI,6,3,59,0.93,0.3522543841428081,0.93,0.3522543841428081,1.0,False,0.9302254178288882,0.3522543841428081
Lüleburgaz,SPI,6,4,59,0.867,0.3858116664451581,0.867,0.3858116664451581,1.0,False,0.8672379142586463,0.3858116664451581
Lüleburgaz,SPI,6,5,59,0.695,0.487167245516122,0.695,0.487167245516122,1.0,False,0.6948213836614907,0.487167245516122
Lüleburgaz,SPI,6,6,59,1.258,0.208343904692817,1.258,0.208343904692817,1.0,False,1.2581323248935312,0.20834390469281705
Lüleburgaz,SPI,6,7,59,2.232,0.0256011199465682,2.232,0.0256011199465682,1.0,False,2.232209498348759,0.025601119946568218
Lüleburgaz,SPI,6,8,59,1.994,0.0462058291371365,1.994,0.0462058291371365,1.0,False,1.9935081761611846,0.046205829137136556
Lüleburgaz,SPI,6,9,59,2.228,0.0258656932786967,2.228,0.0258656932786967,1.0,False,2.2282223215752026,0.0258656932786967
Lüleburgaz,SPI,6,10,59,2.244,0.0248307724858949,2.244,0.0248307724858949,1.0,False,2.2440253167636794,0.024830772485894936
