name,year,month,SPI12_ec,SPEI12_ec,dekad
Kırklareli,2010,5,2.1638934657813116,1.0368438739174206,2010
Kırklareli,2010,6,2.219185923412288,1.8778204544743962,2010
Kırklareli,2010,7,1.9632598216777222,0.9605459129628093,2010
Kırklareli,2010,8,1.9270633278374962,0.7739048590420036,2010
Kırklareli,2010,9,1.0153325878520625,0.2001268238361276,2010
Kırklareli,2010,10,0.8584579836692675,0.270398811331614,2010
Kırklareli,2010,11,1.213021256395976,0.7220836639292071,2010
Kırklareli,2010,12,1.0949194110073135,0.7009150101404921,2010
Kırklareli,2011,1,1.0034646362467634,0.4604844549664717,2010
Kırklareli,2011,2,-0.06791779276952825,-0.951967538931302,2010
Kırklareli,2011,3,-0.5738235575024921,-1.616418757391707,2010
Kırklareli,2011,4,-0.6000248285617037,-1.4062541336209538,2010
Kırklareli,2011,5,-0.4852006903841934,-0.8180062538498446,2010
Kırklareli,2011,6,-0.7052814757070082,-1.3580116173904604,2010
Kırklareli,2011,7,-0.8141610770141471,-1.1701388325688753,2010
Kırklareli,2011,8,-0.7110625472945336,-0.6938979506875058,2010
Kırklareli,2011,9,-0.5039926409274172,-0.6006908625531828,2010
Kırklareli,2011,10,0.002394916689815305,-0.4705331563385317,2010
Kırklareli,2011,11,-0.8103783873058953,-1.006208079246981,2010
Kırklareli,2011,12,-0.5548601003174595,-0.6892942243738549,2010
Kırklareli,2012,1,0.24940336474882258,0.3179441625035,2010
Kırklareli,2012,2,0.2293440593638702,0.34156977129901683,2010
Kırklareli,2012,3,0.17834483856163796,0.2550097688305323,2010
Kırklareli,2012,4,0.2906142385742914,0.18985824394537765,2010
Kırklareli,2012,5,1.1766069923628155,0.6490388741388877,2010
Kırklareli,2012,6,1.0931329833512082,0.8710046319760396,2010
Kırklareli,2012,7,0.8320089928635613,0.2707376044872675,2010
Kırklareli,2012,8,0.8573258430008583,0.18691428279667768,2010
Kırklareli,2012,9,0.6355251920798328,0.07689398355682255,2010
Kırklareli,2012,10,0.7135369532054296,-0.10690780840009781,2010
Kırklareli,2012,11,0.969591912881097,0.2709203237898088,2010
Kırklareli,2012,12,1.7561346876306636,1.2275017219485187,2010
Kırklareli,2013,1,1.6396616316630284,1.0119314997884037,2010
Kırklareli,2013,2,2.319117236797251,1.499100274199141,2010
Kırklareli,2013,3,2.6953615751556246,1.7432848282632372,2010
Kırklareli,2013,4,2.5788443066280404,1.5765193483728233,2010
Kırklareli,2013,5,1.707015378154465,0.4388752068944169,2010
Kırklareli,2013,6,2.2759451693796393,1.4609346136405343,2010
Kırklareli,2013,7,2.3817501614827647,0.9779708217947473,2010
Kırklareli,2013,8,2.2557468313568005,0.9010670634323724,2010
Kırklareli,2013,9,2.247603623253499,0.9285954893459627,2010
Kırklareli,2013,10,1.8287501373923765,1.5281931281617676,2010
Kırklareli,2013,11,1.7840524755350562,1.4876825796513438,2010
Kırklareli,2013,12,0.2763586622206551,-0.05766217568518244,2010
Kırklareli,2014,1,0.3171996106648083,-0.207280474455229,2010
Kırklareli,2014,2,-0.4664266570820767,-1.3915344659256128,2010
Kırklareli,2014,3,-0.28697414451038467,-1.1723213621175108,2010
Kırklareli,2014,4,0.1795300469188206,-0.46846264153648803,2010
Kırklareli,2014,5,0.7582621778816129,0.2971097392388691,2010
Kırklareli,2014,6,1.3083603567071278,1.0863115319390153,2010
Kırklareli,2014,7,1.4400291751335792,0.6777375261077593,2010
Kırklareli,2014,8,1.4470747647911626,0.6456661513261039,2010
Kırklareli,2014,9,2.0825177090681892,0.9722542660116424,2010
Kırklareli,2014,10,2.5835345792286,2.314291455790898,2010
Kırklareli,2014,11,2.168718092110452,1.889935236400868,2010
Kırklareli,2014,12,3.0430658317932497,2.164217659981902,2010
Kırklareli,2015,1,2.983666313862165,2.207642949094092,2010
Kırklareli,2015,2,3.509228272892659,2.4446552593700814,2010
Kırklareli,2015,3,3.328723327328487,2.477316520907816,2010
Kırklareli,2015,4,3.392289597804352,2.4874303052911455,2010
Kırklareli,2015,5,2.699874925999871,1.2844541772971554,2010
Kırklareli,2015,6,1.972726614574273,1.7394905757020969,2010
Kırklareli,2015,7,1.9072158411096758,0.9319014777905663,2010
Kırklareli,2015,8,1.9598326238873656,0.9073842312247499,2010
Kırklareli,2015,9,1.3957950769385172,0.5443710160514088,2010
Kırklareli,2015,10,1.1479715606851082,0.6945624311872525,2010
Kırklareli,2015,11,0.7977905039969432,0.29799981997758535,2010
Kırklareli,2015,12,-0.3143465969455277,-1.084914735931485,2010
Kırklareli,2016,1,0.46168321845831384,-0.09723185012836158,2010
Kırklareli,2016,2,0.6181854998339702,-0.046761224713298764,2010
Kırklareli,2016,3,0.4809182475386102,-0.37738650645435107,2010
Kırklareli,2016,4,0.2810138709017156,-0.9548586247091404,2010
Kırklareli,2016,5,0.6648888092081262,-0.0695665838470535,2010
Kırklareli,2016,6,0.30065285911035733,-0.8280646101614748,2010
Kırklareli,2016,7,0.28427371439078175,-0.568367012295871,2010
Kırklareli,2016,8,0.2648222836001822,-0.5354210319889169,2010
Kırklareli,2016,9,0.13979678961801972,-0.5304572132774388,2010
Kırklareli,2016,10,0.08023749309196708,-1.009667787706103,2010
Kırklareli,2016,11,0.13987771617611175,-0.6511995604890822,2010
Kırklareli,2016,12,0.20430027410307153,-0.40943455687515445,2010
Kırklareli,2017,1,-0.3792807476370566,-1.350041181632942,2010
Kırklareli,2017,2,-0.7106963595795829,-1.6972055393589898,2010
Kırklareli,2017,3,-0.6306104881879108,-1.5101236030024072,2010
Kırklareli,2017,4,-0.2713624414945857,-0.7432610364614372,2010
Kırklareli,2017,5,-0.6175264391650716,-0.8636956534843121,2010
Kırklareli,2017,6,-0.5164653190852078,-1.0489597815734661,2010
Kırklareli,2017,7,0.07115529951226096,-0.19414138437848255,2010
Kırklareli,2017,8,0.040891624555572936,-0.24126498792882375,2010
Kırklareli,2017,9,0.21413949304634683,-0.17164623492164408,2010
Kırklareli,2017,10,0.6006933726988261,0.10806907369700702,2010
Kırklareli,2017,11,0.7777048023336358,0.4438339006570364,2010
Kırklareli,2017,12,1.723288701595554,1.3241363226687657,2010
Kırklareli,2018,1,1.8189493333022286,1.3152062505304016,2010
Kırklareli,2018,2,1.9444701675802207,1.400090263023446,2010
Kırklareli,2018,3,3.0888678667567557,2.1947391836758317,2010
Kırklareli,2018,4,2.605595744738145,1.7104977178011798,2010
Kırklareli,2018,5,2.4610707465557664,0.9608791581451551,2010
Kırklareli,2018,6,3.1690363651407356,2.2647661664012153,2010
Kırklareli,2018,7,3.520052471214025,1.433825846698572,2010
Kırklareli,2018,8,3.3896933084867156,1.3765632282377454,2010
Kırklareli,2018,9,3.18977231809438,1.3296894663178171,2010
Kırklareli,2018,10,2.8468606923214357,2.283047520514942,2010
Kırklareli,2018,11,2.624316831632197,2.0206626168475372,2010
Kırklareli,2018,12,2.0542666323294503,1.5167495865233103,2010
Kırklareli,2019,1,2.5648596435016713,1.8441478712370996,2010
Kırklareli,2019,2,2.4525527019802524,1.7600986925077604,2010
Kırklareli,2019,3,1.0454223079462859,0.4724438973249275,2010
Kırklareli,2019,4,1.378086245683759,1.0473019348729495,2010
Kırklareli,2019,5,1.3317714214688607,0.675364756683846,2010
Kırklareli,2019,6,0.6194137059656626,0.20173999479185764,2010
Kırklareli,2019,7,0.31696966489696954,-0.06926118891534855,2010
Kırklareli,2019,8,0.5765266072304781,0.1160201030511716,2010
Kırklareli,2019,9,0.6279261865548676,0.15668093635032568,2010
Kırklareli,2019,10,1.044204683862037,0.7151355656563841,2010
Kırklareli,2019,11,0.33761156311196766,-0.19889978289883523,2010
Kırklareli,2019,12,0.3088700111031763,-0.2172917970589259,2010
Kırklareli,2020,1,-0.5457498672872834,-1.5960321620492102,2020
Kırklareli,2020,2,-0.3597949605766883,-1.4096226826575582,2020
Kırklareli,2020,3,-0.27890459481394875,-1.2520763302355866,2020
Kırklareli,2020,4,-0.23033295644419557,-1.1006506528271196,2020
Kırklareli,2020,5,-0.10240264258613965,-0.5742228804776072,2020
Kırklareli,2020,6,0.4509370211422719,0.06801833575917618,2020
Kırklareli,2020,7,-0.15379371134399392,-0.47589385560304104,2020
Kırklareli,2020,8,-0.3958392016649249,-0.6675548642156383,2020
Kırklareli,2020,9,-0.38799359108435777,-0.7271521818098294,2020
Kırklareli,2020,10,-0.6178635520792405,-1.4852353552553372,2020
Kırklareli,2020,11,-0.8519904931672786,-1.475504931812593,2020
