name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Tekirdağ,SPEI,10,27,Gamma3,0.359,0.632,250,Weibull3,False
Tekirdağ,SPEI,11,26,Gamma3,0.435,0.492,250,Gumbel,False
Tekirdağ,SPEI,12,24,Gamma3,0.611,0.364,250,Gumbel,False
Tekirdağ,SPI,1,48,Weibull3,0.336,0.552,250,Weibull3,True
Tekirdağ,SPI,2,44,LN3,0.966,0.004,250,Gamma3,False
Tekirdağ,SPI,3,39,Weibull3,0.393,0.396,250,Weibull3,True
Tekirdağ,SPI,4,34,GEV,0.37,0.284,250,Weibull3,False
Tekirdağ,SPI,5,32,GEV,0.3,0.456,250,Gumbel,False
Tekirdağ,SPI,6,31,Lojistik,0.354,0.388,250,Gumbel,False
Tekirdağ,SPI,7,29,LN3,0.423,0.14,250,Gumbel,False
Tekirdağ,SPI,8,28,LN3,0.468,0.084,250,Gumbel,False
Tekirdağ,SPI,9,27,Gumbel,0.664,0.116,250,Gumbel,True
Tekirdağ,SPI,10,25,Gumbel,0.561,0.192,250,Gumbel,True
Tekirdağ,SPI,11,24,Gumbel,0.582,0.156,250,Gumbel,True
Tekirdağ,SPI,12,23,GEV,0.377,0.252,250,Gumbel,False
Uzunköprü,SPEI,1,46,Gumbel,0.441,0.32,250,Gamma3,False
Uzunköprü,SPEI,2,38,Gumbel,0.323,0.584,250,Gamma3,False
Uzunköprü,SPEI,3,32,Lojistik,0.402,0.28,250,Gumbel,False
Uzunköprü,SPEI,4,30,Gumbel,0.374,0.476,250,Gumbel,True
Uzunköprü,SPEI,5,30,Gumbel,0.327,0.56,250,Gumbel,True
Uzunköprü,SPEI,6,28,Lojistik,0.339,0.412,250,Gumbel,False
Uzunköprü,SPEI,7,27,Lojistik,0.342,0.44,250,Gumbel,False
Uzunköprü,SPEI,8,24,Lojistik,0.403,0.324,250,Gumbel,False
Uzunköprü,SPEI,9,23,Gumbel,0.401,0.416,250,Gumbel,True
Uzunköprü,SPEI,10,23,Gumbel,0.265,0.744,250,Gumbel,True
Uzunköprü,SPEI,11,21,GEV,0.248,0.588,250,Gamma3,False
Uzunköprü,SPEI,12,21,Gumbel,0.356,0.432,250,Gumbel,True
Uzunköprü,SPI,1,45,Weibull3,0.692,0.088,250,Weibull3,True
Uzunköprü,SPI,2,38,Weibull3,1.051,0.056,250,Weibull3,True
Uzunköprü,SPI,3,33,GEV,0.651,0.064,250,Normal,False
Uzunköprü,SPI,4,32,GEV,0.53,0.12,250,Normal,False
Uzunköprü,SPI,5,31,GEV,0.489,0.16,250,Normal,False
Uzunköprü,SPI,6,30,GEV,0.404,0.284,250,Normal,False
Uzunköprü,SPI,7,29,GEV,0.335,0.416,250,Normal,False
Uzunköprü,SPI,8,26,GEV,0.225,0.708,250,Normal,False
Uzunköprü,SPI,9,25,Normal,0.212,0.868,250,Normal,True
Uzunköprü,SPI,10,25,GEV,0.181,0.872,250,Normal,False
Uzunköprü,SPI,11,24,Weibull3,0.128,0.996,250,Normal,False
Uzunköprü,SPI,12,23,Gamma3,0.129,0.992,250,Normal,False
Çorlu,SPEI,1,48,Gumbel,0.431,0.312,250,Gamma3,False
Çorlu,SPEI,2,44,Gumbel,0.413,0.364,250,Gamma3,False
Çorlu,SPEI,3,36,Gumbel,0.387,0.416,250,Gumbel,True
