model,ssp,name,indeks,pencere,D,n_nonzero,P0,dagilim,T10,T50,T100
ACCESS-CM2,ssp585,Lüleburgaz,SPI,2070-2099,3,25,0.167,GEV,5.71,6.57,6.78
ACCESS-CM2,ssp585,Lüleburgaz,SPI,2070-2099,6,23,0.233,GEV,10.45,11.79,12.09
ACCESS-CM2,ssp585,Lüleburgaz,SPI,2070-2099,9,20,0.333,GEV,14.57,15.82,16.04
ACCESS-CM2,ssp585,Lüleburgaz,SPI,2070-2099,12,18,0.4,Weibull3,17.5,19.7,20.34
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2030-2059,3,25,0.167,Weibull3,10.83,14.97,16.53
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2030-2059,6,24,0.2,GEV,17.81,24.13,26.59
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2030-2059,9,20,0.333,LN3,24.91,35.12,39.52
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2030-2059,12,19,0.367,Gumbel,32.03,45.01,50.43
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2070-2099,3,30,0.0,Gumbel,19.08,23.87,25.9
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2070-2099,6,30,0.0,Lojistik,31.21,34.44,35.79
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2070-2099,9,30,0.0,Lojistik,46.19,51.2,53.27
ACCESS-CM2,ssp585,Lüleburgaz,SPEI,2070-2099,12,30,0.0,Lojistik,59.23,65.29,67.8
ACCESS-CM2,ssp585,Sarıyer,SPI,2030-2059,3,24,0.2,Lojistik,5.03,6.84,7.59
ACCESS-CM2,ssp585,Sarıyer,SPI,2030-2059,6,17,0.433,Lojistik,8.83,11.68,12.83
ACCESS-CM2,ssp585,Sarıyer,SPI,2030-2059,9,12,0.6,GEV,11.31,24.26,34.28
ACCESS-CM2,ssp585,Sarıyer,SPI,2070-2099,3,25,0.167,Lojistik,6.7,8.36,9.05
ACCESS-CM2,ssp585,Sarıyer,SPI,2070-2099,6,23,0.233,Lojistik,12.45,15.08,16.17
ACCESS-CM2,ssp585,Sarıyer,SPI,2070-2099,9,22,0.267,Lojistik,18.37,22.43,24.09
ACCESS-CM2,ssp585,Sarıyer,SPI,2070-2099,12,20,0.333,Lojistik,23.61,29.29,31.6
ACCESS-CM2,ssp585,Sarıyer,SPEI,2030-2059,3,30,0.0,Normal,8.15,9.93,10.55
ACCESS-CM2,ssp585,Sarıyer,SPEI,2030-2059,6,27,0.1,Lojistik,14.94,18.7,20.25
ACCESS-CM2,ssp585,Sarıyer,SPEI,2030-2059,9,24,0.2,Lojistik,21.06,25.7,27.61
ACCESS-CM2,ssp585,Sarıyer,SPEI,2030-2059,12,24,0.2,GEV,28.25,35.91,38.92
ACCESS-CM2,ssp585,Sarıyer,SPEI,2070-2099,3,30,0.0,GEV,13.29,14.03,14.18
ACCESS-CM2,ssp585,Sarıyer,SPEI,2070-2099,6,30,0.0,GEV,25.34,26.86,27.16
ACCESS-CM2,ssp585,Sarıyer,SPEI,2070-2099,9,30,0.0,GEV,36.81,38.91,39.34
ACCESS-CM2,ssp585,Sarıyer,SPEI,2070-2099,12,30,0.0,GEV,47.51,49.77,50.21
ACCESS-CM2,ssp585,Tekirdağ,SPI,2030-2059,3,24,0.2,LN3,5.29,8.58,10.16
ACCESS-CM2,ssp585,Tekirdağ,SPI,2030-2059,6,18,0.4,GEV,8.92,14.22,16.85
ACCESS-CM2,ssp585,Tekirdağ,SPI,2030-2059,9,14,0.533,Lojistik,13.53,18.55,20.54
ACCESS-CM2,ssp585,Tekirdağ,SPI,2030-2059,12,13,0.567,Normal,17.81,23.58,25.47
ACCESS-CM2,ssp585,Tekirdağ,SPI,2070-2099,3,24,0.2,Normal,6.05,7.22,7.62
ACCESS-CM2,ssp585,Tekirdağ,SPI,2070-2099,6,23,0.233,GEV,11.59,13.45,13.96
ACCESS-CM2,ssp585,Tekirdağ,SPI,2070-2099,9,19,0.367,Weibull3,16.66,18.94,19.61
ACCESS-CM2,ssp585,Tekirdağ,SPI,2070-2099,12,14,0.533,GEV,20.75,22.14,22.37
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2030-2059,3,28,0.067,Lojistik,9.09,11.38,12.33
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2030-2059,6,26,0.133,Weibull3,17.09,21.2,22.68
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2030-2059,9,23,0.233,Weibull3,25.14,30.33,32.1
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2030-2059,12,21,0.3,Gumbel,33.08,43.77,48.24
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2070-2099,3,30,0.0,GEV,13.76,14.18,14.25
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2070-2099,6,30,0.0,GEV,26.82,27.88,28.08
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2070-2099,9,30,0.0,GEV,39.46,40.94,41.21
ACCESS-CM2,ssp585,Tekirdağ,SPEI,2070-2099,12,30,0.0,Weibull3,51.67,56.55,58.16
ACCESS-CM2,ssp585,Uzunköprü,SPI,2030-2059,3,19,0.367,Lojistik,3.62,4.85,5.35
