model,ssp,name,indeks,pencere,D,n_nonzero,P0,dagilim,T10,T50,T100
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2070-2099,3,30,0.0,Gamma3,12.84,19.22,21.86
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2070-2099,6,29,0.033,Weibull3,23.53,33.72,37.7
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2070-2099,9,24,0.2,GEV,32.34,42.66,46.43
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2070-2099,12,23,0.233,LN3,40.14,52.62,57.4
MRI-ESM2-0,ssp245,Sarıyer,SPI,2030-2059,3,15,0.5,Lojistik,4.55,6.44,7.19
MRI-ESM2-0,ssp245,Sarıyer,SPI,2070-2099,3,16,0.467,GEV,6.03,12.35,16.15
MRI-ESM2-0,ssp245,Sarıyer,SPI,2070-2099,6,12,0.6,Gamma3,12.71,22.66,26.71
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2030-2059,3,24,0.2,GEV,6.14,8.57,9.53
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2030-2059,6,20,0.333,GEV,11.45,15.57,17.09
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2030-2059,9,16,0.467,Lojistik,15.93,21.64,23.92
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2030-2059,12,15,0.5,Lojistik,20.14,27.04,29.79
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2070-2099,3,25,0.167,Weibull3,8.57,13.41,15.42
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2070-2099,6,21,0.3,LN3,16.0,27.29,32.82
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2070-2099,9,18,0.4,LN3,22.8,36.16,42.13
MRI-ESM2-0,ssp245,Sarıyer,SPEI,2070-2099,12,13,0.567,Gumbel,29.41,43.79,49.71
MRI-ESM2-0,ssp245,Tekirdağ,SPI,2030-2059,3,17,0.433,Gumbel,4.69,7.33,8.44
MRI-ESM2-0,ssp245,Tekirdağ,SPI,2070-2099,3,21,0.3,Weibull3,6.45,9.16,10.16
MRI-ESM2-0,ssp245,Tekirdağ,SPI,2070-2099,6,17,0.433,GEV,11.83,14.23,14.81
MRI-ESM2-0,ssp245,Tekirdağ,SPI,2070-2099,9,14,0.533,GEV,16.66,18.62,18.96
MRI-ESM2-0,ssp245,Tekirdağ,SPI,2070-2099,12,13,0.567,Weibull3,19.89,23.32,24.3
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2030-2059,3,24,0.2,LN3,6.79,10.56,12.27
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2030-2059,6,19,0.367,GEV,12.07,18.48,21.53
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2030-2059,9,15,0.5,GEV,16.88,27.46,33.08
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2030-2059,12,14,0.533,GEV,20.66,41.07,55.05
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2070-2099,3,30,0.0,Weibull3,9.54,12.96,14.25
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2070-2099,6,29,0.033,Weibull3,18.25,24.97,27.55
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2070-2099,9,26,0.133,GEV,24.9,29.25,30.46
MRI-ESM2-0,ssp245,Tekirdağ,SPEI,2070-2099,12,23,0.233,Normal,31.63,38.27,40.58
MRI-ESM2-0,ssp245,Uzunköprü,SPI,2030-2059,3,19,0.367,Gumbel,4.5,7.02,8.07
MRI-ESM2-0,ssp245,Uzunköprü,SPI,2070-2099,3,21,0.3,Gumbel,6.47,9.77,11.16
MRI-ESM2-0,ssp245,Uzunköprü,SPI,2070-2099,6,17,0.433,GEV,11.73,13.4,13.73
MRI-ESM2-0,ssp245,Uzunköprü,SPI,2070-2099,9,14,0.533,Weibull3,16.08,18.45,19.11
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2030-2059,3,24,0.2,GEV,7.93,17.21,23.33
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2030-2059,6,18,0.4,LN3,14.22,24.48,29.42
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2030-2059,9,16,0.467,GEV,18.4,43.16,61.6
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2030-2059,12,15,0.5,GEV,22.25,45.21,60.12
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2070-2099,3,30,0.0,LN3,12.21,19.75,23.32
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2070-2099,6,29,0.033,Gamma3,24.54,38.01,43.67
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2070-2099,9,28,0.067,Weibull3,32.19,47.2,53.18
MRI-ESM2-0,ssp245,Uzunköprü,SPEI,2070-2099,12,24,0.2,GEV,36.47,41.61,42.81
MRI-ESM2-0,ssp245,Çorlu,SPI,2030-2059,3,14,0.533,LN3,4.22,6.21,6.96
MRI-ESM2-0,ssp245,Çorlu,SPI,2070-2099,3,20,0.333,LN3,5.08,11.05,14.51
MRI-ESM2-0,ssp245,Çorlu,SPI,2070-2099,6,14,0.533,Gamma3,9.55,15.35,17.73
MRI-ESM2-0,ssp245,Çorlu,SPI,2070-2099,9,13,0.567,GEV,12.49,21.37,26.39
MRI-ESM2-0,ssp245,Çorlu,SPEI,2030-2059,3,24,0.2,Gumbel,6.26,9.3,10.58
MRI-ESM2-0,ssp245,Çorlu,SPEI,2030-2059,6,17,0.433,Gumbel,11.38,15.96,17.87
MRI-ESM2-0,ssp245,Çorlu,SPEI,2030-2059,9,16,0.467,LN3,15.97,25.11,29.4
MRI-ESM2-0,ssp245,Çorlu,SPEI,2030-2059,12,15,0.5,LN3,20.0,30.33,34.92
MRI-ESM2-0,ssp245,Çorlu,SPEI,2070-2099,3,27,0.1,Weibull3,9.08,13.43,15.16
MRI-ESM2-0,ssp245,Çorlu,SPEI,2070-2099,6,24,0.2,Weibull3,17.22,25.95,29.44
MRI-ESM2-0,ssp245,Çorlu,SPEI,2070-2099,9,22,0.267,Weibull3,23.95,33.78,37.48
MRI-ESM2-0,ssp245,Çorlu,SPEI,2070-2099,12,19,0.367,Weibull3,28.86,38.89,42.5
MRI-ESM2-0,ssp245,İpsala,SPI,2030-2059,3,20,0.333,GEV,3.82,5.68,6.44
MRI-ESM2-0,ssp245,İpsala,SPI,2030-2059,6,13,0.567,GEV,6.4,9.63,10.88
MRI-ESM2-0,ssp245,İpsala,SPI,2070-2099,3,24,0.2,Weibull3,5.3,7.35,8.13
MRI-ESM2-0,ssp245,İpsala,SPI,2070-2099,6,21,0.3,GEV,9.7,11.16,11.5
MRI-ESM2-0,ssp245,İpsala,SPI,2070-2099,9,17,0.433,Weibull3,13.83,15.98,16.62
MRI-ESM2-0,ssp245,İpsala,SPI,2070-2099,12,15,0.5,Weibull3,17.19,19.26,19.85
MRI-ESM2-0,ssp245,İpsala,SPEI,2030-2059,3,26,0.133,LN3,6.61,10.82,12.88
MRI-ESM2-0,ssp245,İpsala,SPEI,2030-2059,6,23,0.233,Gamma3,11.56,17.15,19.44
MRI-ESM2-0,ssp245,İpsala,SPEI,2030-2059,9,19,0.367,LN3,15.46,22.25,25.12
MRI-ESM2-0,ssp245,İpsala,SPEI,2030-2059,12,16,0.467,GEV,20.36,149.85,416.6
MRI-ESM2-0,ssp245,İpsala,SPEI,2070-2099,3,30,0.0,Weibull3,10.53,14.22,15.63
MRI-ESM2-0,ssp245,İpsala,SPEI,2070-2099,6,29,0.033,Weibull3,18.36,22.81,24.41
MRI-ESM2-0,ssp245,İpsala,SPEI,2070-2099,9,27,0.1,GEV,25.05,28.85,29.91
MRI-ESM2-0,ssp245,İpsala,SPEI,2070-2099,12,26,0.133,GEV,31.92,36.08,37.14
MRI-ESM2-0,ssp585,Edirne,SPI,2030-2059,3,22,0.267,Weibull3,5.27,6.57,7.02
MRI-ESM2-0,ssp585,Edirne,SPI,2030-2059,6,17,0.433,Gamma3,8.68,10.85,11.59
MRI-ESM2-0,ssp585,Edirne,SPI,2070-2099,3,26,0.133,Weibull3,10.02,13.07,14.17
MRI-ESM2-0,ssp585,Edirne,SPI,2070-2099,6,25,0.167,GEV,17.67,22.83,24.61
MRI-ESM2-0,ssp585,Edirne,SPI,2070-2099,9,24,0.2,Lojistik,24.42,32.04,35.18
MRI-ESM2-0,ssp585,Edirne,SPI,2070-2099,12,22,0.267,GEV,30.59,37.7,39.87
MRI-ESM2-0,ssp585,Edirne,SPEI,2030-2059,3,28,0.067,GEV,8.38,9.25,9.44
MRI-ESM2-0,ssp585,Edirne,SPEI,2030-2059,6,27,0.1,Weibull3,15.13,18.25,19.32
MRI-ESM2-0,ssp585,Edirne,SPEI,2030-2059,9,21,0.3,Weibull3,20.88,25.52,27.1
MRI-ESM2-0,ssp585,Edirne,SPEI,2030-2059,12,19,0.367,Weibull3,26.27,30.36,31.66
MRI-ESM2-0,ssp585,Edirne,SPEI,2070-2099,3,30,0.0,Lojistik,15.62,19.12,20.57
MRI-ESM2-0,ssp585,Edirne,SPEI,2070-2099,6,30,0.0,Lojistik,30.52,37.89,40.94
MRI-ESM2-0,ssp585,Edirne,SPEI,2070-2099,9,30,0.0,Weibull3,41.74,46.04,47.36
MRI-ESM2-0,ssp585,Edirne,SPEI,2070-2099,12,28,0.067,Weibull3,54.62,59.8,61.38
MRI-ESM2-0,ssp585,Kırklareli,SPI,2030-2059,3,22,0.267,GEV,4.83,5.42,5.56
MRI-ESM2-0,ssp585,Kırklareli,SPI,2030-2059,6,16,0.467,Lojistik,8.1,10.15,10.97
MRI-ESM2-0,ssp585,Kırklareli,SPI,2070-2099,3,27,0.1,Weibull3,9.45,12.48,13.59
MRI-ESM2-0,ssp585,Kırklareli,SPI,2070-2099,6,24,0.2,Weibull3,17.42,23.29,25.45
MRI-ESM2-0,ssp585,Kırklareli,SPI,2070-2099,9,24,0.2,GEV,23.92,30.0,31.96
MRI-ESM2-0,ssp585,Kırklareli,SPI,2070-2099,12,22,0.267,GEV,29.79,35.51,37.14
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2030-2059,3,28,0.067,GEV,8.36,8.79,8.86
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2030-2059,6,27,0.1,GEV,15.04,16.1,16.29
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2030-2059,9,23,0.233,Gamma3,20.9,25.39,26.98
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2030-2059,12,20,0.333,Weibull3,26.04,29.83,31.05
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2070-2099,3,30,0.0,Lojistik,15.23,18.49,19.84
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2070-2099,6,30,0.0,Weibull3,27.44,30.11,30.93
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2070-2099,9,30,0.0,Weibull3,40.13,44.19,45.44
MRI-ESM2-0,ssp585,Kırklareli,SPEI,2070-2099,12,28,0.067,GEV,51.77,53.58,53.84
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2030-2059,3,23,0.233,Normal,5.94,7.42,7.94
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2030-2059,6,18,0.4,GEV,10.22,11.86,12.24
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2030-2059,9,16,0.467,Weibull3,13.85,17.23,18.31
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2030-2059,12,13,0.567,Gumbel,16.3,22.91,25.62
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2070-2099,3,26,0.133,Gumbel,9.37,13.3,14.96
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2070-2099,6,26,0.133,Weibull3,17.3,24.29,26.99
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2070-2099,9,26,0.133,GEV,24.0,35.18,40.14
MRI-ESM2-0,ssp585,Lüleburgaz,SPI,2070-2099,12,21,0.3,GEV,30.48,42.92,48.15
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2030-2059,3,28,0.067,Weibull3,11.93,16.28,17.92
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2030-2059,6,26,0.133,Weibull3,20.15,28.81,32.21
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2030-2059,9,24,0.2,Weibull3,26.83,37.75,41.94
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2030-2059,12,20,0.333,GEV,31.4,42.58,46.84
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2070-2099,3,30,0.0,Gumbel,19.71,26.72,29.68
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2070-2099,6,29,0.033,Lojistik,32.4,39.02,41.76
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2070-2099,9,29,0.033,GEV,41.99,42.59,42.64
MRI-ESM2-0,ssp585,Lüleburgaz,SPEI,2070-2099,12,28,0.067,Lojistik,59.21,70.71,75.47
MRI-ESM2-0,ssp585,Sarıyer,SPI,2030-2059,3,25,0.167,GEV,6.7,8.69,9.36
MRI-ESM2-0,ssp585,Sarıyer,SPI,2030-2059,6,21,0.3,Weibull3,11.74,15.84,17.33
MRI-ESM2-0,ssp585,Sarıyer,SPI,2030-2059,9,18,0.4,Normal,15.95,19.96,21.31
MRI-ESM2-0,ssp585,Sarıyer,SPI,2030-2059,12,12,0.6,GEV,19.22,23.79,25.04
MRI-ESM2-0,ssp585,Sarıyer,SPI,2070-2099,3,30,0.0,Gamma3,7.6,10.44,11.57
MRI-ESM2-0,ssp585,Sarıyer,SPI,2070-2099,6,27,0.1,Gamma3,14.65,21.14,23.81
MRI-ESM2-0,ssp585,Sarıyer,SPI,2070-2099,9,27,0.1,LN3,21.43,35.6,42.67
MRI-ESM2-0,ssp585,Sarıyer,SPI,2070-2099,12,22,0.267,Gamma3,27.74,41.15,46.68
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2030-2059,3,28,0.067,GEV,8.18,9.72,10.18
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2030-2059,6,28,0.067,Normal,15.0,18.12,19.22
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2030-2059,9,26,0.133,GEV,21.12,23.76,24.39
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2030-2059,12,23,0.233,GEV,26.47,29.5,30.23
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2070-2099,3,30,0.0,LN3,11.31,14.19,15.38
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2070-2099,6,30,0.0,Weibull3,21.18,25.91,27.66
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2070-2099,9,30,0.0,Weibull3,30.93,37.26,39.53
MRI-ESM2-0,ssp585,Sarıyer,SPEI,2070-2099,12,29,0.033,Weibull3,40.25,47.4,49.88
MRI-ESM2-0,ssp585,Tekirdağ,SPI,2030-2059,3,25,0.167,Lojistik,6.21,8.29,9.15
MRI-ESM2-0,ssp585,Tekirdağ,SPI,2030-2059,6,20,0.333,GEV,10.31,12.34,12.85
MRI-ESM2-0,ssp585,Tekirdağ,SPI,2030-2059,9,13,0.567,GEV,14.72,16.72,17.08
MRI-ESM2-0,ssp585,Tekirdağ,SPI,2070-2099,3,26,0.133,Weibull3,9.89,14.71,16.67
MRI-ESM2-0,ssp585,Tekirdağ,SPI,2070-2099,6,25,0.167,LN3,16.84,25.43,29.37
MRI-ESM2-0,ssp585,Tekirdağ,SPI,2070-2099,9,25,0.167,GEV,23.4,35.39,41.06
MRI-ESM2-0,ssp585,Tekirdağ,SPI,2070-2099,12,21,0.3,GEV,29.74,43.19,49.25
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2030-2059,3,28,0.067,GEV,8.78,10.15,10.53
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2030-2059,6,27,0.1,Weibull3,15.92,19.03,20.09
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2030-2059,9,25,0.167,Weibull3,22.11,27.85,29.95
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2030-2059,12,21,0.3,GEV,26.94,33.77,36.31
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2070-2099,3,30,0.0,GEV,12.77,13.49,13.63
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2070-2099,6,29,0.033,Weibull3,24.45,26.97,27.75
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2070-2099,9,29,0.033,Weibull3,35.44,39.51,40.79
MRI-ESM2-0,ssp585,Tekirdağ,SPEI,2070-2099,12,28,0.067,Weibull3,45.24,50.27,51.85
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2030-2059,3,24,0.2,Weibull3,6.16,8.44,9.3
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2030-2059,6,20,0.333,GEV,10.12,13.34,14.5
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2030-2059,9,14,0.533,Normal,13.97,17.37,18.49
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2030-2059,12,12,0.6,GEV,16.06,22.52,25.27
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2070-2099,3,29,0.033,Weibull3,8.99,12.39,13.68
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2070-2099,6,24,0.2,LN3,16.05,23.46,26.78
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2070-2099,9,23,0.233,GEV,22.27,34.76,41.36
MRI-ESM2-0,ssp585,Uzunköprü,SPI,2070-2099,12,21,0.3,GEV,28.94,42.82,49.4
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2030-2059,3,28,0.067,Weibull3,9.77,12.36,13.27
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2030-2059,6,26,0.133,Weibull3,17.12,22.44,24.42
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2030-2059,9,24,0.2,GEV,22.47,26.62,27.78
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2030-2059,12,19,0.367,Normal,27.47,33.33,35.33
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2070-2099,3,30,0.0,Gumbel,16.85,22.76,25.26
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2070-2099,6,29,0.033,GEV,26.87,27.4,27.46
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2070-2099,9,29,0.033,GEV,37.83,39.72,40.04
MRI-ESM2-0,ssp585,Uzunköprü,SPEI,2070-2099,12,28,0.067,GEV,47.47,49.99,50.43
MRI-ESM2-0,ssp585,Çorlu,SPI,2030-2059,3,24,0.2,Weibull3,6.55,9.27,10.32
MRI-ESM2-0,ssp585,Çorlu,SPI,2030-2059,6,22,0.267,Weibull3,10.85,14.8,16.26
MRI-ESM2-0,ssp585,Çorlu,SPI,2030-2059,9,16,0.467,GEV,14.29,17.24,18.01
MRI-ESM2-0,ssp585,Çorlu,SPI,2030-2059,12,12,0.6,GEV,15.51,20.44,22.07
MRI-ESM2-0,ssp585,Çorlu,SPI,2070-2099,3,26,0.133,Weibull3,9.19,13.43,15.11
MRI-ESM2-0,ssp585,Çorlu,SPI,2070-2099,6,24,0.2,Weibull3,16.67,25.08,28.48
MRI-ESM2-0,ssp585,Çorlu,SPI,2070-2099,9,24,0.2,LN3,23.15,38.41,45.86
MRI-ESM2-0,ssp585,Çorlu,SPI,2070-2099,12,20,0.333,LN3,29.06,45.79,53.52
MRI-ESM2-0,ssp585,Çorlu,SPEI,2030-2059,3,27,0.1,GEV,8.27,9.82,10.28
MRI-ESM2-0,ssp585,Çorlu,SPEI,2030-2059,6,27,0.1,GEV,15.65,18.97,20.02
MRI-ESM2-0,ssp585,Çorlu,SPEI,2030-2059,9,26,0.133,Normal,21.53,26.06,27.64
MRI-ESM2-0,ssp585,Çorlu,SPEI,2030-2059,12,24,0.2,Normal,26.05,31.19,32.98
MRI-ESM2-0,ssp585,Çorlu,SPEI,2070-2099,3,30,0.0,Weibull3,12.36,14.37,15.05
MRI-ESM2-0,ssp585,Çorlu,SPEI,2070-2099,6,28,0.067,GEV,23.12,24.91,25.29
MRI-ESM2-0,ssp585,Çorlu,SPEI,2070-2099,9,28,0.067,GEV,33.26,36.66,37.48
MRI-ESM2-0,ssp585,Çorlu,SPEI,2070-2099,12,28,0.067,GEV,41.99,46.23,47.24
MRI-ESM2-0,ssp585,İpsala,SPI,2030-2059,3,22,0.267,GEV,4.23,4.87,5.01
MRI-ESM2-0,ssp585,İpsala,SPI,2030-2059,6,15,0.5,Gamma3,7.11,9.2,9.94
MRI-ESM2-0,ssp585,İpsala,SPI,2070-2099,3,26,0.133,Gumbel,8.38,11.93,13.43
MRI-ESM2-0,ssp585,İpsala,SPI,2070-2099,6,24,0.2,Gumbel,15.41,21.97,24.73
MRI-ESM2-0,ssp585,İpsala,SPI,2070-2099,9,22,0.267,GEV,21.6,31.69,36.39
MRI-ESM2-0,ssp585,İpsala,SPI,2070-2099,12,21,0.3,GEV,27.74,40.35,46.21
MRI-ESM2-0,ssp585,İpsala,SPEI,2030-2059,3,28,0.067,LN3,9.6,13.88,15.71
MRI-ESM2-0,ssp585,İpsala,SPEI,2030-2059,6,26,0.133,Weibull3,15.46,20.36,22.16
MRI-ESM2-0,ssp585,İpsala,SPEI,2030-2059,9,20,0.333,Normal,20.75,25.28,26.83
MRI-ESM2-0,ssp585,İpsala,SPEI,2030-2059,12,19,0.367,Weibull3,26.06,31.64,33.51
MRI-ESM2-0,ssp585,İpsala,SPEI,2070-2099,3,30,0.0,GEV,12.8,12.98,13.0
MRI-ESM2-0,ssp585,İpsala,SPEI,2070-2099,6,30,0.0,GEV,24.13,25.0,25.13
MRI-ESM2-0,ssp585,İpsala,SPEI,2070-2099,9,30,0.0,GEV,34.8,36.32,36.56
MRI-ESM2-0,ssp585,İpsala,SPEI,2070-2099,12,29,0.033,GEV,45.26,47.39,47.74
