ssp,pencere,indeks,name,D,T10_gel,T50_gel,T100_gel,T10_tar,T50_tar,T100_tar,dT10_%,dT50_%,dT100_%
ssp245,2070-2099,SPI,Uzunköprü,12,11.75,19.35,23.6,16.71,22.18,24.14,-30.0,-13.0,-2.0
ssp245,2070-2099,SPI,Çorlu,3,4.55,6.69,7.58,5.19,7.44,8.27,-12.0,-10.0,-8.0
ssp245,2070-2099,SPI,Çorlu,6,8.26,12.37,14.04,9.47,13.69,15.39,-13.0,-10.0,-9.0
ssp245,2070-2099,SPI,Çorlu,9,11.935,19.015,22.61,13.34,17.98,19.83,-11.0,6.0,14.0
ssp245,2070-2099,SPI,İpsala,3,3.78,5.36,6.68,4.97,6.56,7.19,-24.0,-18.0,-7.0
ssp245,2070-2099,SPI,İpsala,6,8.43,10.315000000000001,10.875,9.41,13.83,15.67,-10.0,-25.0,-31.0
ssp245,2070-2099,SPI,İpsala,9,13.83,15.98,16.62,13.42,21.5,25.17,3.0,-26.0,-34.0
ssp245,2070-2099,SPI,İpsala,12,17.19,19.26,19.85,16.49,27.17,32.39,4.0,-29.0,-39.0
ssp585,2030-2059,SPEI,Edirne,3,9.62,12.0,12.98,5.21,7.42,8.29,85.0,62.0,57.0
ssp585,2030-2059,SPEI,Edirne,6,18.0,22.06,23.56,8.84,13.2,15.1,104.0,67.0,56.0
ssp585,2030-2059,SPEI,Edirne,9,25.25,35.21,38.85,11.79,18.3,21.41,114.0,92.0,81.0
ssp585,2030-2059,SPEI,Edirne,12,32.96,42.31,45.84,13.97,24.12,29.47,136.0,75.0,56.0
ssp585,2030-2059,SPEI,Kırklareli,3,9.47,12.22,12.95,5.16,8.3,9.79,84.0,47.0,32.0
ssp585,2030-2059,SPEI,Kırklareli,6,17.03,21.35,22.42,9.45,15.93,19.19,80.0,34.0,17.0
ssp585,2030-2059,SPEI,Kırklareli,9,25.2,30.69,32.51,12.6,23.78,30.6,100.0,29.0,6.0
ssp585,2030-2059,SPEI,Kırklareli,12,32.41,39.93,42.32,15.27,29.94,39.73,112.0,33.0,7.0
ssp585,2030-2059,SPEI,Lüleburgaz,3,10.83,14.97,16.53,6.2,18.25,26.8,75.0,-18.0,-38.0
ssp585,2030-2059,SPEI,Lüleburgaz,6,17.81,26.61,32.1,10.4,24.36,32.53,71.0,9.0,-1.0
ssp585,2030-2059,SPEI,Lüleburgaz,9,24.91,37.75,41.94,13.17,27.84,35.28,89.0,36.0,19.0
ssp585,2030-2059,SPEI,Sarıyer,3,8.15,9.73,10.55,5.21,7.43,8.35,56.0,31.0,26.0
ssp585,2030-2059,SPEI,Sarıyer,6,14.94,18.12,19.22,9.24,12.59,13.9,62.0,44.0,38.0
ssp585,2030-2059,SPEI,Sarıyer,9,21.06,23.94,26.47,12.61,16.98,18.78,67.0,41.0,41.0
ssp585,2030-2059,SPEI,Sarıyer,12,26.47,32.75,36.48,16.2,22.76,25.37,63.0,44.0,44.0
